NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
24,105864,3,264,19.83333
24,158664,3,264,20.58333
24,211464,3,264,21.95833
24,264264,3,264,20.12500
24,317064,3,264,20.95833
24,369864,3,264,16.83333
24,422664,3,264,19.29167
24,475464,3,264,20.62500
24,528264,3,264,20.66667
24,581064,3,264,21.41667
24,633864,3,264,22.25000
24,686664,3,264,22.12500
24,739464,3,264,22.33333
24,792264,3,264,19.87500
24,845064,3,264,19.45833
24,897864,3,264,21.62500
24,950664,3,264,19.12500
24,1003464,3,264,21.50000
24,1056264,3,264,22.87500
24,1109064,3,264,22.29167
24,1161864,3,264,21.62500
24,1214664,3,264,20.95833
24,1267464,3,264,19.08333
24,1320264,3,264,20.25000
24,1373064,3,264,20.29167
24,1425864,3,264,19.54167
24,1478664,3,264,18.54167
24,1531464,3,264,20.45833
24,1584264,3,264,22.95833
24,1637064,3,264,19.75000
24,1689864,3,264,21.33333
24,1742664,3,264,21.00000
24,1795464,3,264,21.08333
24,1848264,3,264,19.37500
24,1901064,3,264,21.12500
24,1953864,3,264,20.95833
24,2006664,3,264,21.50000
24,2059464,3,264,18.16667
26,264,3,264,18.42308
26,53064,3,264,20.53846
26,105864,3,264,19.00000
26,158664,3,264,20.46154
26,211464,3,264,21.19231
26,264264,3,264,20.07692
26,317064,3,264,20.50000
26,369864,3,264,20.80769
26,422664,3,264,21.57692
26,475464,3,264,18.96154
26,528264,3,264,18.34615
26,581064,3,264,19.50000
26,633864,3,264,21.03846
26,686664,3,264,22.23077
26,739464,3,264,17.92308
26,792264,3,264,26.57692
26,845064,3,264,21.50000
26,897864,3,264,18.23077
26,950664,3,264,22.11539
26,1003464,3,264,21.23077
26,1056264,3,264,20.53846
26,1109064,3,264,18.96154
26,1161864,3,264,22.07692
26,1214664,3,264,19.80769
26,1267464,3,264,18.96154
26,1320264,3,264,20.42308
26,1373064,3,264,21.23077
26,1425864,3,264,18.11539
26,1478664,3,264,20.07692
26,1531464,3,264,19.88461
26,1584264,3,264,19.19231
26,1637064,3,264,18.38461
26,1689864,3,264,19.92308
26,1742664,3,264,20.26923
26,1795464,3,264,20.03846
26,1848264,3,264,20.23077
26,1901064,3,264,20.26923
26,1953864,3,264,19.34615
26,2006664,3,264,21.30769
26,2059464,3,264,20.50000
28,264,3,264,16.46428
28,53064,3,264,20.32143
28,105864,3,264,21.32143
28,158664,3,264,23.53572
28,211464,3,264,19.96428
28,264264,3,264,20.78572
28,317064,3,264,19.67857
28,369864,3,264,21.46428
28,422664,3,264,22.60714
28,475464,3,264,18.75000
28,528264,3,264,21.42857
28,581064,3,264,18.10714
28,633864,3,264,20.64286
28,686664,3,264,21.03572
28,739464,3,264,19.28572
28,792264,3,264,21.03572
28,845064,3,264,17.92857
28,897864,3,264,21.10714
28,950664,3,264,20.50000
28,1003464,3,264,20.32143
28,1056264,3,264,19.35714
28,1109064,3,264,19.92857
28,1161864,3,264,20.89286
28,1214664,3,264,26.82143
28,1267464,3,264,21.42857
28,1320264,3,264,20.75000
28,1373064,3,264,21.10714
28,1425864,3,264,21.64286
28,1478664,3,264,21.75000
28,1531464,3,264,22.28572
28,1584264,3,264,23.57143
28,1637064,3,264,21.85714
28,1689864,3,264,20.53572
28,1742664,3,264,18.42857
28,1795464,3,264,18.39286
28,1848264,3,264,21.25000
28,1901064,3,264,20.53572
28,1953864,3,264,20.60714
28,2006664,3,264,21.60714
28,2059464,3,264,20.28572
30,264,3,264,17.00000
30,53064,3,264,20.33333
30,105864,3,264,18.70000
30,158664,3,264,20.10000
30,211464,3,264,20.03333
30,264264,3,264,23.40000
30,317064,3,264,23.43333
30,369864,3,264,19.20000
30,422664,3,264,21.40000
30,475464,3,264,25.03333
30,528264,3,264,21.03333
30,581064,3,264,22.80000
30,633864,3,264,22.60000
30,686664,3,264,17.86667
30,739464,3,264,19.03333
30,792264,3,264,24.20000
30,845064,3,264,20.20000
30,897864,3,264,21.43333
30,950664,3,264,22.96667
30,1003464,3,264,23.96667
30,1056264,3,264,20.40000
30,1109064,3,264,27.10000
30,1161864,3,264,22.00000
30,1214664,3,264,20.63333
30,1267464,3,264,21.06667
30,1320264,3,264,20.26667
30,1373064,3,264,20.60000
30,1425864,3,264,21.26667
30,1478664,3,264,20.60000
30,1531464,3,264,22.66667
30,1584264,3,264,20.33333
30,1637064,3,264,23.26667
30,1689864,3,264,21.73333
30,1742664,3,264,22.63333
30,1795464,3,264,22.86667
30,1848264,3,264,21.60000
30,1901064,3,264,22.46667
30,1953864,3,264,21.86667
30,2006664,3,264,19.90000
30,2059464,3,264,20.53333
32,264,3,264,14.90625
32,53064,3,264,19.87500
32,105864,3,264,17.50000
32,158664,3,264,21.06250
32,211464,3,264,18.96875
32,264264,3,264,21.75000
32,317064,3,264,23.59375
32,369864,3,264,20.46875
32,422664,3,264,20.90625
32,475464,3,264,26.90625
32,528264,3,264,21.62500
32,581064,3,264,21.46875
32,633864,3,264,21.81250
32,686664,3,264,19.96875
32,739464,3,264,23.25000
32,792264,3,264,22.81250
32,845064,3,264,22.34375
32,897864,3,264,21.06250
32,950664,3,264,21.12500
32,1003464,3,264,25.09375
32,1056264,3,264,25.56250
32,1109064,3,264,21.37500
32,1161864,3,264,23.03125
32,1214664,3,264,21.28125
32,1267464,3,264,22.18750
32,1320264,3,264,21.21875
32,1373064,3,264,22.21875
32,1425864,3,264,23.78125
32,1478664,3,264,21.93750
32,1531464,3,264,22.40625
32,1584264,3,264,24.40625
32,1637064,3,264,22.68750
32,1689864,3,264,24.43750
32,1742664,3,264,22.31250
32,1795464,3,264,23.53125
32,1848264,3,264,23.50000
32,1901064,3,264,25.18750
32,1953864,3,264,21.46875
32,2006664,3,264,25.21875
32,2059464,3,264,21.21875
34,264,3,264,13.58823
34,53064,3,264,25.94118
34,105864,3,264,20.64706
34,158664,3,264,19.94118
34,211464,3,264,23.35294
34,264264,3,264,18.85294
34,317064,3,264,22.55882
34,369864,3,264,23.14706
34,422664,3,264,23.02941
34,475464,3,264,24.41176
34,528264,3,264,19.32353
34,581064,3,264,19.70588
34,633864,3,264,21.88235
34,686664,3,264,22.44118
34,739464,3,264,21.35294
34,792264,3,264,25.00000
34,845064,3,264,22.35294
34,897864,3,264,21.94118
34,950664,3,264,23.97059
34,1003464,3,264,20.55882
34,1056264,3,264,22.79412
34,1109064,3,264,19.97059
34,1161864,3,264,21.79412
34,1214664,3,264,20.91176
34,1267464,3,264,24.64706
34,1320264,3,264,20.38235
34,1373064,3,264,23.85294
34,1425864,3,264,29.14706
34,1478664,3,264,22.85294
34,1531464,3,264,20.91176
34,1584264,3,264,20.94118
34,1637064,3,264,22.00000
34,1689864,3,264,20.50000
