NUM_OF_CORE,MORSEL_SIZE,cols,recSize,TimeTaken
28,2059464,3,264,23.85714
30,264,3,264,11.40000
30,53064,3,264,18.06667
30,105864,3,264,17.56667
30,158664,3,264,17.46667
30,211464,3,264,10.60000
30,264264,3,264,19.36667
30,317064,3,264,20.13333
30,369864,3,264,18.66667
30,422664,3,264,18.16667
30,475464,3,264,17.73333
30,528264,3,264,15.40000
30,581064,3,264,17.46667
30,633864,3,264,21.16667
30,686664,3,264,15.30000
30,739464,3,264,17.66667
30,792264,3,264,20.63333
30,845064,3,264,18.96667
30,897864,3,264,17.13333
30,950664,3,264,20.80000
30,1003464,3,264,17.00000
30,1056264,3,264,20.13333
30,1109064,3,264,15.46667
30,1161864,3,264,18.86667
30,1214664,3,264,17.03333
30,1267464,3,264,13.50000
30,1320264,3,264,15.20000
30,1373064,3,264,13.93333
30,1425864,3,264,18.03333
30,1478664,3,264,21.46667
30,1531464,3,264,21.40000
30,1584264,3,264,15.93333
30,1637064,3,264,18.06667
30,1689864,3,264,20.10000
30,1742664,3,264,22.16667
30,1795464,3,264,17.26667
30,1848264,3,264,12.06667
30,1901064,3,264,16.56667
30,1953864,3,264,14.90000
30,2006664,3,264,14.56667
30,2059464,3,264,17.40000
32,264,3,264,3.37500
32,53064,3,264,15.50000
32,105864,3,264,19.31250
32,158664,3,264,14.81250
32,211464,3,264,16.15625
32,264264,3,264,19.12500
32,317064,3,264,17.34375
32,369864,3,264,19.59375
32,422664,3,264,20.75000
32,475464,3,264,15.28125
32,528264,3,264,18.53125
32,581064,3,264,19.46875
32,633864,3,264,22.21875
32,686664,3,264,20.28125
32,739464,3,264,18.90625
32,792264,3,264,16.96875
32,845064,3,264,20.06250
32,897864,3,264,15.43750
32,950664,3,264,15.93750
32,1003464,3,264,17.81250
32,1056264,3,264,14.75000
32,1109064,3,264,16.09375
32,1161864,3,264,25.03125
32,1214664,3,264,18.06250
32,1267464,3,264,21.00000
32,1320264,3,264,15.81250
32,1373064,3,264,16.53125
32,1425864,3,264,21.53125
32,1478664,3,264,17.71875
32,1531464,3,264,20.43750
32,1584264,3,264,21.50000
32,1637064,3,264,20.34375
32,1689864,3,264,18.31250
32,1742664,3,264,18.40625
32,1795464,3,264,18.18750
32,1848264,3,264,22.12500
32,1901064,3,264,20.56250
32,1953864,3,264,22.93750
32,2006664,3,264,16.43750
32,2059464,3,264,20.43750
34,264,3,264,8.79412
34,53064,3,264,16.38235
34,105864,3,264,21.82353
34,158664,3,264,18.47059
34,211464,3,264,16.91176
34,264264,3,264,21.05882
34,317064,3,264,14.47059
34,369864,3,264,18.91176
34,422664,3,264,18.00000
34,475464,3,264,18.76471
34,528264,3,264,15.82353
34,581064,3,264,20.61765
34,633864,3,264,20.02941
34,686664,3,264,27.67647
34,739464,3,264,22.23529
34,792264,3,264,23.50000
34,845064,3,264,13.70588
34,897864,3,264,16.91176
34,950664,3,264,16.85294
34,1003464,3,264,17.73529
34,1056264,3,264,20.44118
34,1109064,3,264,17.32353
34,1161864,3,264,18.23529
34,1214664,3,264,22.35294
34,1267464,3,264,18.82353
34,1320264,3,264,19.61765
34,1373064,3,264,22.50000
34,1425864,3,264,18.82353
34,1478664,3,264,19.32353
34,1531464,3,264,20.02941
34,1584264,3,264,13.64706
34,1637064,3,264,15.17647
34,1689864,3,264,17.70588
34,1742664,3,264,19.41176
34,1795464,3,264,16.52941
34,1848264,3,264,22.70588
34,1901064,3,264,21.14706
34,1953864,3,264,24.08824
34,2006664,3,264,18.67647
34,2059464,3,264,14.79412
36,264,3,264,4.00000
36,53064,3,264,23.83333
36,105864,3,264,15.27778
36,158664,3,264,18.75000
36,211464,3,264,22.33333
36,264264,3,264,16.91667
36,317064,3,264,20.25000
36,369864,3,264,22.88889
36,422664,3,264,22.63889
36,475464,3,264,19.33333
36,528264,3,264,17.05556
36,581064,3,264,14.33333
36,633864,3,264,16.08333
36,686664,3,264,20.69444
36,739464,3,264,18.55556
36,792264,3,264,17.94444
36,845064,3,264,21.22222
36,897864,3,264,21.91667
36,950664,3,264,19.61111
36,1003464,3,264,20.08333
36,1056264,3,264,20.00000
36,1109064,3,264,18.38889
36,1161864,3,264,23.38889
36,1214664,3,264,17.47222
36,1267464,3,264,14.83333
36,1320264,3,264,25.55556
36,1373064,3,264,20.69444
36,1425864,3,264,23.94444
36,1478664,3,264,16.61111
36,1531464,3,264,15.97222
36,1584264,3,264,24.69444
36,1637064,3,264,21.69444
36,1689864,3,264,21.16667
36,1742664,3,264,20.58333
36,1795464,3,264,20.75000
36,1848264,3,264,21.94444
36,1901064,3,264,21.00000
36,1953864,3,264,20.88889
36,2006664,3,264,22.22222
36,2059464,3,264,14.58333
38,264,3,264,4.86842
38,53064,3,264,24.94737
38,105864,3,264,21.00000
38,158664,3,264,19.26316
38,211464,3,264,20.71053
38,264264,3,264,19.23684
38,317064,3,264,18.94737
38,369864,3,264,18.44737
38,422664,3,264,20.73684
38,475464,3,264,23.68421
38,528264,3,264,20.76316
38,581064,3,264,20.00000
38,633864,3,264,22.73684
38,686664,3,264,17.31579
38,739464,3,264,25.52632
38,792264,3,264,20.55263
38,845064,3,264,22.44737
38,897864,3,264,24.10526
38,950664,3,264,23.26316
38,1003464,3,264,18.65789
38,1056264,3,264,29.71053
38,1109064,3,264,20.68421
38,1161864,3,264,25.13158
38,1214664,3,264,20.84211
38,1267464,3,264,22.44737
38,1320264,3,264,16.97368
38,1373064,3,264,26.50000
38,1425864,3,264,19.84211
38,1478664,3,264,19.00000
38,1531464,3,264,21.05263
38,1584264,3,264,23.97368
38,1637064,3,264,22.05263
38,1689864,3,264,21.44737
38,1742664,3,264,21.63158
38,1795464,3,264,20.86842
38,1848264,3,264,21.55263
38,1901064,3,264,24.47368
38,1953864,3,264,21.63158
38,2006664,3,264,22.28947
38,2059464,3,264,15.34210
40,264,3,264,6.15000
40,53064,3,264,24.62500
40,105864,3,264,26.27500
40,158664,3,264,21.10000
